team_size,workload_sqrt_iterations_per_thread,repeat,wall_time_seconds,completed_workers,checksum,logical_cpu_count
1,10000000,1,1.006790400,1,21081852648.717,16
1,10000000,2,1.198792200,1,21081852648.717,16
1,10000000,3,0.853799600,1,21081852648.717,16
2,10000000,4,1.745862000,2,42163705297.434,16
2,10000000,5,1.693143400,2,42163705297.434,16
2,10000000,6,1.696896500,2,42163705297.434,16
4,10000000,7,3.415874900,4,84327410594.868,16
4,10000000,8,3.441002500,4,84327410594.868,16
4,10000000,9,3.723360300,4,84327410594.868,16
8,10000000,10,7.300916500,8,168654821189.736,16
8,10000000,11,7.213794000,8,168654821189.736,16
8,10000000,12,7.331628300,8,168654821189.736,16
16,10000000,13,14.339714500,16,337309642379.472,16
16,10000000,14,13.806352800,16,337309642379.472,16
16,10000000,15,14.117578300,16,337309642379.472,16
32,10000000,16,28.258439600,32,674619284758.943,16
32,10000000,17,30.776448900,32,674619284758.943,16
32,10000000,18,28.932508900,32,674619284758.943,16
64,10000000,19,57.000540700,64,1349238569517.886,16
64,10000000,20,58.165271900,64,1349238569517.886,16
64,10000000,21,61.088059200,64,1349238569517.886,16
