record,student_id,N,threads,schedule,chunk,cold_s,run2_s,run3_s,avg_s,speedup,theoretical_speedup,reality_gap,throughput_iter_s,penalty_ratio,max_steps,checksum,hits_over_100
sequential,230103270,100000,1,,,0.867844800,0.698046800,0.711570200,0.704808500,1.000000000,1.000000000,0.000000000,141882.511352006,,350,10753840,49459
parallel,230103270,100000,1,static,0,0.868046400,0.859747000,0.825802800,0.842774900,0.836295077,1.000000000,0.163704923,118655.645772561,,350,10753840,49459
parallel,230103270,100000,2,static,0,0.555274900,0.530956600,0.531793500,0.531375050,1.326386137,1.326386137,0.000000000,188190.996174076,,350,10753840,49459
parallel,230103270,100000,4,static,0,0.547794400,0.437137900,0.435667400,0.436402650,1.615041751,1.585056346,-0.029985405,229146.179567607,,350,10753840,49459
parallel,230103270,100000,8,static,0,0.442484000,0.430517700,0.451753900,0.441135800,1.597713221,1.756313396,0.158600175,226687.564233975,,350,10753840,49459
parallel,230103270,100000,16,static,0,0.546841700,0.537499800,0.535338800,0.536419300,1.313913388,1.856612005,0.542698617,186421.331218946,,350,10753840,49459
false_sharing_naive,230103270,100000,16,static,0,0.513671100,0.530572700,0.514812200,0.522692450,,,,191317.092870969,1.000000000,,,49459
false_sharing_reduced,230103270,100000,16,static,0,0.571072100,0.578214900,0.535819100,0.557017000,,,,179527.734346995,1.065668731,,,49459
scheduling,230103270,100000,16,static,0,0.573249400,0.549577200,0.535409000,0.542493100,,,,184334.141755948,0.769702834,,,49459
scheduling,230103270,100000,16,static,1000,0.731143200,0.703029900,0.711782200,0.707406050,,,,141361.527801280,1.003685469,,,49459
scheduling,230103270,100000,16,dynamic,100,0.725643900,0.757854900,0.744205400,0.751030150,,,,133150.446753681,1.065580438,,,49459
scheduling,230103270,100000,16,dynamic,10000,0.734459900,0.705501900,0.731182200,0.718342050,,,,139209.447642550,1.019201741,,,49459
scheduling,230103270,100000,16,guided,0,0.607349900,0.556223400,0.589017900,0.572620650,,,,174635.685947721,0.812448559,,,49459
